,exrept,results
11547,{ figure of merit at 1000 °C }:  magnetic and electrical properties of La 0.8 Sr 0.2H11002x H11623 x MnO 3 manganites 51 Assessment the thermodynamic assessment of the Ti–Si–N system and the interfacial reaction analysis 138 Ball milling synthesis of Sr 2 AlH 7 by ball milling followed by hydrogenation 308 CaHPO 4 analysis of the effects of thermal treatments on CaHPO 4 by 31 P NMR spectroscopy 13 Ceramics A.C. Impedance analysis of the effect of dopant concentration on electrical properties of calcium modified BaSnO 3 292 Chalcogenides crystal structures of the Y 3.33 CuPb 1.5 X 7 (X = S),
11559,{ figure of merit }:  magnetic and electrical properties of La 0.8 Sr 0.2H11002x H11623 x MnO 3 manganites 51 Phase diagram the thermodynamic assessment of the Ti–Si–N system and the interfacial reaction analysis 138 the quasi-ternary system Cu 2 Se–CdSe–In 2 Se 3 and the crystal structure of the Cu 0.6 Cd 0.7 In 6 Se 10 compound 186 solid-state phase equilibria in the Fe–Pt–Pr ternary system at 1173 K 211 an investigation of the Al–Pd–Fe phase diagram between 50 and 100 at.% Al: reaction scheme 219 Phase equilibrium isothermal section at 1000 °C of the Nb–Ti–Si system 235 Phase formation sequence the thermodynamic assessment of the Ti–Si–N system and the interfacial reaction analysis 138 Phase transitions in situ powder synchrotron and neutron diffraction study of Zr 2 Ni deuterides 107 Powder neutron diffraction in situ powder synchrotron and neutron diffraction study of Zr 2 Ni deuterides 107 31 P NMR spectroscopy analysis of the effects of thermal treatments on CaHPO 4 by 31 P NMR spectroscopy 13 Powder synchrotron diffraction in situ powder synchrotron and neutron diffraction study of Zr 2 Ni deuterides 107 Precipitation conditions of existence of a disordered solid solution having chemical interactions between the atomic species 200 Rare earths antimonides and bismuthides new Yb 5 Sb 3 -type R 5 T x X 3H11002x compounds (R = Gd–Er),
11566,"Shin et al. fabricated Bi0.5Sb1.5Te3 bulk materials with a flexural strength of 50.1 MPa by the hot-pressing of powders, with a maximum dimensionless figure of merit of 0.87 at room temperature.)","[{'Pressure': {'raw_value': '50.1', 'raw_units': 'MPa', 'value': [50.1], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.5Sb1.5Te3 bulk materials']}}}}]"
11626, the estimated ZT values of p-type SnSe along the b- and c-axis can reach 2.5 and 1.7 at 6 GPa at 700 K),"[{'Pressure': {'raw_value': '6', 'raw_units': 'GPa', 'value': [6.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['p-type SnSe']}}}}]"
11635,{ ZT at 823 K }:  Sn1-xCuxSe (x = 0–0.03) was obtained by combining melting with high pressure (6.0 GPa) sintering),"[{'Pressure': {'raw_value': '6.0', 'raw_units': 'GPa)', 'value': [6.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Sn1-xCuxSe'], 'labels': ['x = 0']}}}}]"
11854,"the record power factor demonstrated for PEDOT–PSS (470 μW K−2 m−1, ZT = 0.4 at room temperature) using a post-treatment to remove the excess of insulating PSS.)",
25,"At first, a c-Si wafer (p-type, bandgap: 1.12 eV (∼1100 nm), resistivity: 0.05–0.1 Ω cm, doping level: 10e16 cm−3) is dealt with the hydrophilic treatment for the preparation of the etching mask, which is soaked in a mixed solution consisted of concentrated sulfuric acid (H2SO4) and the hydrogen peroxide (H2O2) (the volume fraction of H2SO4 (98 wt%): H2O2 (30 wt%) is 3:1) at 90 °C for 15 min, and then ultrasonically cleaned by the acetone, ethanol and deionized (DI) water, successively.)",
32,"The resistivity of CdO can be decreased to 6 × 10− 4
Ω cm for thermal treatment at 350°C)",
40,"For example, the lowest resistivity of 6.2 × 10−4
Ω cm for InZnO films was obtained by annealing at 200 °C in a N2
+ 10% H2 atmosphere .",
59,"{  at 50–400 °C) }: In any way, in the investigated temperature (50–400 °C) and hydrogen pressure (0–400 kPa) ranges, the resistivity increases much more with temperature (about 0.6 × 10−7 Ω m) than with pressure (about 0.1 × 10−7 Ω m), so that the hydrogenation of the Pd–Ag should not significantly affect the design of the direct ohmic heating of the permeator tubes.)","[{'Pressure': {'raw_value': '0–400', 'raw_units': 'kPa)', 'value': [0.0, 400.0], 'units': '(10^3.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Pd–Ag']}}}}]"
156," As described previously, the Γ8 hole magnetic polaron liquid is formed at room temperature in CeP, CeAs and CSb under pressure of 7 GPa giving a common value of resistivity of about 600 μΩ cm even though the carrier number is different by a factor of five around x=0.01 .)","[{'Pressure': {'raw_value': '7', 'raw_units': 'GPa', 'value': [7.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['CSb']}}}}]"
160,Through post-pyrolysis *process* in a hot isostatic press in a nitrogen atmosphere poly(urea-methyl-vinyl)silazane-derived SiCN MEMS devices were fabricated that exhibit a room temperature electrical resistivity of 2–5.5 Ω cm.),
190,"Although the electrical resistivity of Co4Sb11.5Te0.5 synthesized at 1.8 GPa increases linearly with increasing temperature, it is only 1.07 × 10−3
Ω cm at 710 K.)","[{'Pressure': {'raw_value': '1.8', 'raw_units': 'GPa', 'value': [1.8], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.5Te0.5']}}}}]"
230,"The through-the-plane resistivity at room temperature of MoO3/SiO2 thin film deposited onto stainless steel resulted to be 1.37 × 104
Ω m and slightly increased to 1.83 × 104
Ω m after thermal treatment.)",
344, the minimum resistivity of synthesized Bi2Te3 is 9.7 × 10−6Ω m at 320 K from a 2.5 GPa synthesis pressure point),"[{'Pressure': {'raw_value': '2.5', 'raw_units': 'GPa', 'value': [2.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi2Te3']}}}}]"
375,"Using a value of 35 ± 1 K GPa−1 for dTdPmeltboundary<5GPa for Fe below the δ-γ-liquid triple point (), a value of 33.3 ± 0.8 W/m K for k () and a value of 1.39 ± 0.01 × 10−6
Ω m for ρ at 1809 K from , and K0T
= 88 ± 2.6 GPa () yields dLdPmeltboundary<5GPa=-3.98×10-10WΩK2GPa for Fe.)","[{'Pressure': {'raw_value': '88 ± 2.6', 'raw_units': 'GPa()', 'value': [88.0], 'units': '(10^9.0) * Pascal^(1.0)', 'error': 2.6, 'specifier': 'at', 'compound': {'Compound': {'names': ['dTdPmeltboundary < 5 GPa']}}}}]"
380,"The Bi2S3 bulk without any heat treatment has an electrical resistivity of 1–1.5×10−3
Ω m at room temperature)",
381,"The Bi2S3 bulk hot pressed at 400 °C from the N2 treatment (250 °C, 5 h) shows a higher electrical resistivity of 1814 μΩ m, and a larger energy barrier of 0.129 eV.)",
605,"By depositing at an intentional heating of 200 °C and applying a post-deposition thermal treatment at 350 °C and 300 °C, for ZnO:Ga,Bi and ZnO:Al,Bi, respectively, electrical resistivity values of 1.3 × 10−3 Ω cm and 4.8 × 10−4 Ω cm were achieved, with an optical transmittance above 80%.)",
670,"{  at 900 °C }: When the heat treatment temperature was elevated to 900 °C, the uniform and dense films with single phase of CuAlO2 were obtained, with a resistivity of 15 Ωcm.)",
103,"{  at room temperature }: The powder mixture (90 wt.% CrSi2, 10 wt.% NFC) was pressed under the similar conditions as the previous methods (T = room temperature, P = 100 MPa for 3 min) and this time results in a strong pellet with a σ of 2.9 ± 0.3 S/cm and a α of 105 ± 11 μV/K)","[{'Pressure': {'raw_value': '100', 'raw_units': 'MPa', 'value': [100.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['( 90 wt. % CrSi2']}}}}]"
676, the existence of the maximum absolute Seebeck coefficient is 195.8 μV/K at 365 K from a synthesized Bi2Te3 at 2 GPa.),"[{'Pressure': {'raw_value': '2', 'raw_units': 'GPa', 'value': [2.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi2Te3']}}}}]"
681,{ highest S at 650 °C }:  or in Bi1.8Pb0.2Ba2Co2Oy materials annealed under 0.1% O2 atmosphere (around 120 μV/K) .),
700,The absolute value of calculated total S at 300 K (0 GPa) for Mn2CuSi (Mn2ZnSi) is ~21 μV/K (~30 µV/K).),"[{'Pressure': {'raw_value': '0', 'raw_units': 'GPa)', 'value': [0.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Mn2CuSi']}}}}]"
891,The maximum absolute Seebeck coefficient value reaches 126.38 μV/K at room temperature from synthesized Bi1.5Sb0.5Te3 at 3 GPa by HPHT.),"[{'Pressure': {'raw_value': '3', 'raw_units': 'GPa', 'value': [3.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi1.5Sb0.5Te3']}}}}]"
997,"The highest thermopower was measured to be ∼115 μV/K at room temperature, which is the highest value from doped PANI without stretching to our best knowledge, with an ammonium hydroxide treatment for 48 h.)",
1151,"Rather, in the case of Mg2Sn compound in cubic Laves phase MgCu2-type structure at pressure of 97.32 GPa which is stable with respect the cubic ant-fluorite CaF2-type structure at 0 GPa, we have observed in Fig. 5, a large value of thermopower |S| = 359 μV/K at room temperature.)","[{'Pressure': {'raw_value': '97.32', 'raw_units': 'GPa', 'value': [97.32], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Mg2Sn compound']}}}}]"
1192,"The TEP value obtained by a simple extrapolation of the S(T) relationship, corresponding to run 1, to 300 K (ca. −5 μV/K) fits well the S(x)-trend observed in the Ni1−xCrx–H alloy system at 1 GPa, 298 K (see ).)","[{'Pressure': {'raw_value': '1', 'raw_units': 'GPa', 'value': [1.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Ni1−xCrx–H alloy']}}}}]"
1458,"The maximum values of the Seebeck coefficient and power factor were 256.5 μV/K and 1.12 × 10^3 μW/m·K2, respectively, for the Bi0.5Sb1.5Te3 thin films annealing treatment at 523 K (250 °C) for 10 minutes.)",
1743, the Seebeck coefficient of the PEDOT/silk composite increases from 6.2–14.1 μV/K after PEDOT:PSS coating treatment at 300 K.),
1750,"Electrochemically deposited thick Bi2Te3 films, in the as deposited state, exhibited a Seebeck coefficient of ca. 70 μV/K and the PF was about 220 μW m−1 K−2 (293 K), both of which increase after annealing at 300 °C (2 hours) to 130 μV/K (2 h) and 680 μW m−1 K−2 respectively, although a decrease in S to ca. 120 μV/K was seen when heat treatment was extended to 5 h.)",
1792,The calculated Seebeck coefficient for Sr3SbN and Sr3BiN at 15 GPa and 600 K are 257 μV/K and 142 μV/K),"[{'Pressure': {'raw_value': '15', 'raw_units': 'GPa', 'value': [15.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Sr3SbN']}}}}]"
1793,Seebeck coefficient for Sr3SbN and Sr3BiN at 600 K and 15 GPa using mBJ+SOC potential are 257 μV/K and 142 μV/K),"[{'Pressure': {'raw_value': '15', 'raw_units': 'GPa', 'value': [15.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Sr3SbN']}}}}]"
1795,The Seebeck coefficient of Sr3BiN calculated by TB-mBJ+SOC potential at 600 K and 15 GPa is 142 μV/K.),"[{'Pressure': {'raw_value': '15', 'raw_units': 'GPa', 'value': [15.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Sr3BiN']}}}}]"
1796,The Seebeck coefficient at 15 GPa and 600 K in TB-mBJ+SOC calculation for Sr3SbN and Sr3BiN are 257 μV/K and 142 μV/K and the corresponding lattice thermal conductivities are 0.11 and 0.06 Wm-1K-1),"[{'Pressure': {'raw_value': '15', 'raw_units': 'GPa', 'value': [15.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Sr3SbN']}}}}]"
1874,{  at room temperature }: The sequential treatments give rise to PEDOT:PSS with a Seebeck coefficient of 39.2 μV/K),
2251,"The measurement of the Seebeck coefficient (S
= 147.35 μV/K) at 300 K of the polycrystalline ingot remains of the same order of magnitude as that of the Tl2SnTe5 phase obtained from the Heat treatment 2.)",
2252,The Seebeck coefficient of as-deposited Bi2Te3 thick film was −68 μV/K before annealing and increased to −125 μV/K after annealed at 300 °C for 2 h in an inert atmosphere.),
2327, Xiao et al. showed that the few layer graphene films upon oxygen plasma treatment have remarkably enhanced thermopower of about 700 μV/K at 575 K),
2422, Cu2O with 0.7–1.3 μm thickness demonstrated the S coefficient in the range 0.90–0.20 mV/K at room temperature (RT) while the deposition of the copper target in oxygen-argon atmosphere on sapphire substrate by a radio frequency (RF)-sputtering.),
7,A maximum power factor of 533μWm-1K-2 was obtained for the In4Se3 sample hot pressed at 450°C under a pressure of 120MPa.),"[{'Pressure': {'raw_value': '120', 'raw_units': 'MPa', 'value': [120.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['In4Se3']}}}}]"
96,"Riquelme et al. fabricated graphene oxide (GO)/PP thin film composites by a simple spray coating method combined with wet-chemical hydrazine/deionized water solution treatment, and a power factor of 47.4 µWm-1 K-2 was obtained at RT for the composites with 3 wt% GO.)",
120, the maximum power factor of 80 μWm−1K−2 is achieved at room temperature for the BiCuSeO prepared under 4 GPa.),"[{'Pressure': {'raw_value': '4', 'raw_units': 'GPa', 'value': [4.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['BiCuSeO']}}}}]"
138,"The sequential treatments give rise to PEDOT:PSS with a Seebeck coefficient of 39.2 μV K−1, an electrical conductivity of 2170 S cm−1 and a power factor of 334 μW m−1 K−2 at room temperature.)",
186,The power factors using TB-mBJ+SOC calculation at 600 K and 15 GPa for Sr3SbN and Sr3BiN are 16.5 μWcm−1K−2( and 2.2 μWcm−1K−2 (with τ=10−14 s)),"[{'Pressure': {'raw_value': '15', 'raw_units': 'GPa', 'value': [15.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Sr3SbN']}}}}]"
280,"Electrochemically deposited thick Bi2Te3 films, in the as deposited state, exhibited a Seebeck coefficient of ca. 70 μV K−1 and the PF was about 220 μW m−1 K−2 (293 K), both of which increase after annealing at 300 °C (2 hours) to 130 μV K−1 (2 h) and 680 μW m−1 K−2 respectively, although a decrease in S to ca. 120 μV K−1 was seen when heat treatment was extended to 5 h.)",
516,"On the experimental side, Xiao et al. showed that the few layer graphene films upon oxygen plasma treatment have remarkably enhanced thermopower of about 700 μV K−1 at 575 K, and meanwhile maintained high electrical conductivity, giving a power factor of 4.5 × 10−3 W K−2 m−1 about X times larger)",
558,The SnSe sintered at 120 MPa has a PF of ~3.9×10-4Wm-1K-2 at 823 K due to the improved electrical conductivity),"[{'Pressure': {'raw_value': '120', 'raw_units': 'MPa', 'value': [120.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['SnSe']}}}}]"
578,It is quite striking for us that such a facile treatment (2-min soaking in DMSO at room temperature) is successful in improving the PF of the as-prepared PEDOT:PSS/SWCNT composite (WSWCNT = 74 wt%) almost ten times from 29 to 300 μW m−1 K−2.),
813,The highest power factor reached 0.84 mW m−1 K−2 at 300 K for Bi0.5Sb1.5Te3/epoxy thick film cured under 623 K and 4 MPa),"[{'Pressure': {'raw_value': '4', 'raw_units': 'MPa)', 'value': [4.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.5Sb1.5Te3 / epoxy']}}}}]"
814, and the highest α2σ of Bi0.5Sb1.5Te3/epoxy thick films reached 0.84 mW K−2 m−1 at 300 K cured under the pressure of 4 MPa at 623 K),"[{'Pressure': {'raw_value': '4', 'raw_units': 'MPa', 'value': [4.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.5Sb1.5Te3 / epoxy']}}}}]"
815,The highest power factor reached 0.84 mW K−2 m−1 at 300 K for Bi0.5Sb1.5Te3/epoxy thick film cured under 623 K and 4 MPa),"[{'Pressure': {'raw_value': '4', 'raw_units': 'MPa)', 'value': [4.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.5Sb1.5Te3 / epoxy']}}}}]"
1009,"Due to the synergistic effect of high polar solvent and thermal treatment, the maximum electrical conductivity of PEDOT:PSS films was up to 520 S cm-1 by EG post-treatment at its boiling point (197 °C), resulting in a power factor of 14.9 μW m-1 K-2, which was four orders of magnitude higher)",
1107, yielding an optimized power factor of 11.7 × 10−4 Wm−1K−2 in the Ba0.3Ni0.15Co3.85Sb12 sample prepared at 3 GPa at room temperature),"[{'Pressure': {'raw_value': '3', 'raw_units': 'GPa', 'value': [3.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Ba0.3Ni0.15Co3.85Sb12']}}}}]"
1108,The power factor of Ba0.3Ni0.15Co3.85Sb12 shows the maximum value of 11.7 × 10−4 Wm−1K−2 at 3 GPa and room temperature.),"[{'Pressure': {'raw_value': '3', 'raw_units': 'GPa', 'value': [3.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Ba0.3Ni0.15Co3.85Sb12']}}}}]"
1109,"{ PF }: those of CoSb3 at 3 GPa, reaching the maximum value of 25.4 × 10−4 Wm−1K−2 at 600 K.)","[{'Pressure': {'raw_value': '3', 'raw_units': 'GPa', 'value': [3.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['CoSb3']}}}}]"
1175,"The CoCp2@SWNT film was found to show a high electrical conductivity (43,200 S m-1 at 320 K) and large power factor (75.4 μW m-1 K-2) and the performance was remarkably stable under atmospheric conditions over a wide range of temperatures.)",
1273,{ power factor }:  and presented a maximum value of 25 × 10−4 W m−1 K−2 at room temperature from the Bi0.5Sb1.5Te3 alloys synthesized at 2.7 GPa.),"[{'Pressure': {'raw_value': '2.7', 'raw_units': 'GPa', 'value': [2.7], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.5Sb1.5Te3 alloys']}}}}]"
1322,"Based on the optimized combination of both H2SO4 and NaOH treatments, the PEDOT:PSS films exhibit a large Seebeck coefficient of 39.2 μV K−1, a high conductivity of 2170 S cm−1 and a corresponding power factor of 334 μW m−1 K−2 at room temperature.)",
1400, at room temperature a relatively large power factor of 9 × 10−4 Wm−1 K−2 is achieved for Ni0.15Co3.85Sb12 at the synthesis condition of 1 GPa pressure.),"[{'Pressure': {'raw_value': '1', 'raw_units': 'GPa', 'value': [1.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Ni0.15Co3.85Sb12']}}}}]"
1912,"The PF of Co4Sb11.5Te0.5 prepared 1.5 GPa, 1.8 GPa and 2.8 GPa all shows the largest value at temperature termination, and the highest PF value for the sample synthesized at 1.8 GPa reaches 32 μW cm−1
K−2 at 710 K.)","[{'Pressure': {'raw_value': '1.5', 'raw_units': 'GPa', 'value': [1.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.5Te0.5']}}}}]"
2259,The power factor (PF) and the ZT value for Pb/SnSe increases to 623 μW/m/K2 and 1.12 at 773 K after annealing treatment),
84,"In 2012, Xia et al. utilized H2SO4 solution to treat PEDOT:PSS films, which demonstrated a large conductivity of 3065 S cm−1 by 1 M H2SO4 treatment at 160 °C three times.)",
85,"Based on the optimized combination of both H2SO4 and NaOH treatments, the PEDOT:PSS films exhibit a large Seebeck coefficient of 39.2 μV K−1, a high conductivity of 2170 S cm−1 and a corresponding power factor of 334 μW m−1 K−2 at room temperature.)",
94,"Strategies for improving the electrical conductivity of Ca12Al14O33 was achieved using a metallic (Ca, Ti) heat treatment process with a crystal Ca12Al14O33 insulator (electrical conductivity < 10^-10 S cm-1), which led to an increase of the electrical conductivity of approximately 1500 S cm-1 (Ti) and 800 S cm-1 (Ca) at room temperature, respectively.)",
102,{ electrical conductivity }:  where H2-sintered La0.3Sr0.7TiO3 (LST) showed a conductivity value of ~500 S/cm at 500 °C in PO2 <10–20 atm),"[{'Pressure': {'raw_value': '10–20', 'raw_units': 'atm)', 'value': [10.0, 20.0], 'units': 'Atmospheres^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['H2-sintered La0.3Sr0.7TiO3', 'LST', 'La0.3Sr0.7TiO3']}}}}]"
104,{ electrical conductivity }:  and a high electronic conductivity of 82 S/cm composition at 800 °C and at an oxygen partial pressure of 10−20 atm were reported for the yttrium-doped strontium titanate of the Sr0.86Y0.08TiO3 (YST) composition .),"[{'Pressure': {'raw_value': '10−20', 'raw_units': 'atm', 'value': [10.0, 20.0], 'units': 'Atmospheres^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['yttrium-doped strontium titanate']}}}}]"
107, with high n-type electronic conductivity up to 120 S/cm measured at 800 °C and oxygen pressure of 10−20 atm for the composition La0.7Sr0.3VO3-δ),"[{'Pressure': {'raw_value': '10−20', 'raw_units': 'atm', 'value': [10.0, 20.0], 'units': 'Atmospheres^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['La0.7Sr0.3VO3-δ']}}}}]"
152,{ ion conductivity }:  with measurements in wet atmospheres giving a further enhancement in conductivity due to a protonic contribution (thus for Ba2In1.8P0.2O5.2 a bulk conductivity approaching 10−3 S cm−1 was observed at 400 °C in wet N2) (Fig. 5).),
194, electrical conductivity at room temperature dramatically increases to 7.7 S cm−1 for the BiCuSeO prepared under 4 GPa.),"[{'Pressure': {'raw_value': '4', 'raw_units': 'GPa', 'value': [4.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['BiCuSeO']}}}}]"
208,"The sequential treatments give rise to PEDOT:PSS with a Seebeck coefficient of 39.2 μV K−1, an electrical conductivity of 2170 S cm−1 and a power factor of 334 μW m−1 K−2 at room temperature.)",
259,"{  at room temperature }: The powder mixture (90 wt.% CrSi2, 10 wt.% NFC) was pressed under the similar conditions as the previous methods (T = room temperature, P = 100 MPa for 3 min) and this time results in a strong pellet with a σ of 2.9 ± 0.3 S/cm and a α of 105 ± 11 μV/K)","[{'Pressure': {'raw_value': '100', 'raw_units': 'MPa', 'value': [100.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['( 90 wt. % CrSi2']}}}}]"
280,"Our latest study further modified the natural hematite through acid treatment, the resulting mineral-based composite exhibited an good ionic conductivity of 0.116 S cm−1 at 600 °C with an activation energy of 0.50 eV (400 – 600 °C) .)",
319,"Single phases were formed for 0 ≤
x
≤ 0.9 and exhibited pure protonic conduction in hydrogen-containing atmospheres which decreased with increasing x. Corcoran et al. have made H2Ti3O7 from the corresponding lithium titanate phase and measured a conductivity of 2.66 × 10−6 S cm−1 at 200 °C.)",
342,"For example, in the work of Bock et al., the 60:40 Sr:Ba composition *process*, and ~10^-16 atm pO2 had room temperature and maximum electrical conductivities of about 30 S/cm and 275 S/cm, respectively.)",
380,{  at room temperature }: The conformational change of PEDOT and the removal of excess insulating PSS by the combined effects of the nitric acid treatment and passing of N2 gas significantly enhanced the electrical conductivity from <1 S cm−1),
382,The post treatment of PEDOT:PSS films with HNO3 for 10 min followed by passing N2 gas gives the highest electrical conductivity (2693 S cm−1 at 25 °C)),
383,"When the films were treated with HNO3 at 25 °C for 10 min followed by rinsing with DI water, the resulting electrical conductivity was only 988 S cm−1, which is the lowest among the different treatment conditions.)",
413,{  at 800 and 1000 °C }:  which has a general formula of SrTiO3 () and possesses a fairly low conductivity between 10−5 and 10−1 S/cm through a wide range of partial oxygen pressures (10−12 < PO2 < 10−7 atm) in a temperature range between 800 and 1000 °C .),"[{'Pressure': {'raw_value': '10−7', 'raw_units': 'atm)', 'value': [1e-07], 'units': 'Atmospheres^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['SrTiO3']}}}}]"
416,"The conductivity results indicated a semiconductor type behavior reaching a conductivity of 10−3 S/cm at 900 °C, while the sample sintered in 5%H2/Ar showed a metallic behavior with a conductivity of 102 S/cm at the same temperature and at PO2 = 10−20 atm.)","[{'Pressure': {'raw_value': '10−20', 'raw_units': 'atm', 'value': [10.0, 20.0], 'units': 'Atmospheres^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['5 % H2 / Ar']}}}}]"
417,"Another investigation revealed that perovskite La0.2Sr0.7TiO3 (synthesized by the method spray pyrolysis and the solid state route), has a conductivity of up to 24 S/cm at 930 °C with PO2 = 10−21 atm in a reducing medium.)","[{'Pressure': {'raw_value': '10−21', 'raw_units': 'atm', 'value': [10.0, 21.0], 'units': 'Atmospheres^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['perovskite La0.2Sr0.7TiO3']}}}}]"
419,The perovskite Y0.88Sr0.08TiO3-SDC showed a greater electrical conductivity of 0.2 S/cm at 800 °C due to the behavior of the mixed valence of the cerium (Ce4+/Ce3+) in reducing atmosphere),
421, showed electrical conductivities of 22.6 S/cm in air and 1.5 S/cm in Ar/4% H2 [PO2 = 9.87 × 10−19 atm] at 810 °C as well as a power density of 365 mW/cm2 at 0.7 V and 856 °C),
424,The sample with the nominal composition Sr0.94Ti0.9Nb0.1O3 showed an electrical conductivity of 127 S/cm at 1000 °C and a PO2 of 10−18 atm after sintering at 1400 °C for 12 h in reducing atmosphere (9% H2/N2).),"[{'Pressure': {'raw_value': '10−18', 'raw_units': 'atm', 'value': [10.0, 18.0], 'units': 'Atmospheres^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Sr0.94Ti0.9Nb0.1O3']}}}}]"
426,{ conductivity }: 0.018 S/cm at 950 °C in an atmosphere of 5% H2/Ar.),
427, a maximum electrical conductivity of 50 S/cm was obtained for the composition La0.1Ca0.9TiO3 and 100 S/cm was obtained for the composition La0.5Ca0.5Cr0.5TiO3 at 900 °C and PO2 = 9.87 × 10−21 atm.),"[{'Pressure': {'raw_value': '9.87 × 10−21', 'raw_units': 'atm', 'value': [9.869999999999999e-21], 'units': 'Atmospheres^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['La0.1Ca0.9TiO3']}}}}]"
472,"The CoCp2@SWNT film was found to show a high electrical conductivity (43,200 S m-1 at 320 K) and large power factor (75.4 μW m-1 K-2) and the performance was remarkably stable under atmospheric conditions over a wide range of temperatures.)",
537,The electrical conductivity of B-doped SiC bodies sintered in a vacuum with 0.5 mol% B and that with 1 mol% B sintered in N2 atmosphere showed semi-insulative conduction in the range of 3–5×10-3 S m-1 at room temperature.),
545,"More significantly, by treated with organic solvents ethylene glycol (EG), N-methyl-2-pyrrolidone (NMP), dimethyl sulfoxide (DMSO) and phosphoric acid , ionic liquids , 2-methylimidazole and anionic surfactants , the conductivity of PEDOT:PSS can improve 2 ∼ 3 order of magnitude, recently reaching maximum 3065 S cm−1 after using 1.0 M H2SO4 post-treatment at 160 °C .)",
587, Shan et al. synthesized the TiO2 doped and MgO stabilized Na-β″/β-Al2O3 electrolyte with 180 MPa bending strength and 0.21 S cm−1 ionic conductivity at 350 °C.),"[{'Pressure': {'raw_value': '180', 'raw_units': 'MPa', 'value': [180.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['TiO2']}}}}]"
